collecTime;ORIGEN;idSite;id;Device;description;formattedValue;rawValue;nombre;rounded_collecTime
2024-07-29 04:40:00;Fusión solar;NE=33781459;pv1_i;Inversor;PV1 input current;0.0 A;0.0;Casa Melipilla;2024-07-29 04:30:00
2024-07-29 04:40:00;Fusión solar;NE=33781459;meter_i;Meter-1;Phase A current of grid (IA);-3.32 A;-3.32;Casa Melipilla;2024-07-29 04:30:00
2024-07-29 04:40:00;Fusión solar;NE=33781459;grid_frequency;Meter-1;Grid frequency;50.02 Hz;50.02;Casa Melipilla;2024-07-29 04:30:00
2024-07-29 04:40:00;Fusión solar;NE=33781459;pv2_i;Inversor;PV2 input current;0.0 A;0.0;Casa Melipilla;2024-07-29 04:30:00
2024-07-29 04:40:00;Fusión solar;NE=33781459;ab_u;Inversor;A-B line voltage of grid;218.9 V;218.9;Casa Melipilla;2024-07-29 04:30:00
2024-07-29 04:40:00;Fusión solar;NE=33781459;a_i;Inversor;Phase A current of grid (IA);0.266 A;0.266;Casa Melipilla;2024-07-29 04:30:00
2024-07-29 04:40:00;Fusión solar;NE=33781459;elec_freq;Inversor;Grid frequency;50.0 Hz;50.0;Casa Melipilla;2024-07-29 04:30:00
2024-07-29 04:40:00;Fusión solar;NE=33781459;battery_soc;Battery-1;Battery SOC;28.0 %;28.0;Casa Melipilla;2024-07-29 04:30:00
2024-07-29 04:40:00;Fusión solar;NE=33781459;ch_discharge_power;Battery-1;Charge/Discharge power;0.0 W;0.0;Casa Melipilla;2024-07-29 04:30:00
2024-07-29 04:40:00;Fusión solar;NE=33781459;meter_u;Meter-1;Phase A voltage (AC output);218.5 V;218.5;Casa Melipilla;2024-07-29 04:30:00
2024-07-29 04:45:00;Fusión solar;NE=33781459;pv1_i;Inversor;PV1 input current;0.0 A;0.0;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:45:00;Fusión solar;NE=33781459;pv2_u;Inversor;PV2 input voltage;0.0 V;0.0;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:45:00;Fusión solar;NE=33781459;grid_frequency;Meter-1;Grid frequency;50.06 Hz;50.06;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:45:00;Fusión solar;NE=33781459;meter_i;Meter-1;Phase A current of grid (IA);-2.79 A;-2.79;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:45:00;Fusión solar;NE=33781459;meter_u;Meter-1;Phase A voltage (AC output);219.6 V;219.6;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:45:00;Fusión solar;NE=33781459;pv1_u;Inversor;PV1 input voltage;0.0 V;0.0;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:45:00;Fusión solar;NE=33781459;ch_discharge_power;Battery-1;Charge/Discharge power;0.0 W;0.0;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:45:00;Fusión solar;NE=33781459;battery_soc;Battery-1;Battery SOC;28.0 %;28.0;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:45:00;Fusión solar;NE=33781459;pv2_i;Inversor;PV2 input current;0.0 A;0.0;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:45:00;Fusión solar;NE=33781459;ab_u;Inversor;A-B line voltage of grid;220.1 V;220.1;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:45:00;Fusión solar;NE=33781459;a_i;Inversor;Phase A current of grid (IA);0.262 A;0.262;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:45:00;Fusión solar;NE=33781459;elec_freq;Inversor;Grid frequency;50.03 Hz;50.03;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:50:00;Fusión solar;NE=33781459;battery_soc;Battery-1;Battery SOC;28.0 %;28.0;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:50:00;Fusión solar;NE=33781459;grid_frequency;Meter-1;Grid frequency;50.04 Hz;50.04;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:50:00;Fusión solar;NE=33781459;meter_i;Meter-1;Phase A current of grid (IA);-2.71 A;-2.71;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:50:00;Fusión solar;NE=33781459;meter_u;Meter-1;Phase A voltage (AC output);220.8 V;220.8;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:50:00;Fusión solar;NE=33781459;elec_freq;Inversor;Grid frequency;50.05 Hz;50.05;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:50:00;Fusión solar;NE=33781459;a_i;Inversor;Phase A current of grid (IA);0.254 A;0.254;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:50:00;Fusión solar;NE=33781459;ch_discharge_power;Battery-1;Charge/Discharge power;0.0 W;0.0;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:50:00;Fusión solar;NE=33781459;pv2_i;Inversor;PV2 input current;0.0 A;0.0;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:50:00;Fusión solar;NE=33781459;pv1_u;Inversor;PV1 input voltage;0.0 V;0.0;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:50:00;Fusión solar;NE=33781459;pv2_u;Inversor;PV2 input voltage;0.0 V;0.0;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:50:00;Fusión solar;NE=33781459;pv1_i;Inversor;PV1 input current;0.0 A;0.0;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:50:00;Fusión solar;NE=33781459;ab_u;Inversor;A-B line voltage of grid;221.4 V;221.4;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:55:00;Fusión solar;NE=33781459;grid_frequency;Meter-1;Grid frequency;50.06 Hz;50.06;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:55:00;Fusión solar;NE=33781459;meter_i;Meter-1;Phase A current of grid (IA);-2.71 A;-2.71;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:55:00;Fusión solar;NE=33781459;meter_u;Meter-1;Phase A voltage (AC output);220.8 V;220.8;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:55:00;Fusión solar;NE=33781459;battery_soc;Battery-1;Battery SOC;28.0 %;28.0;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:55:00;Fusión solar;NE=33781459;elec_freq;Inversor;Grid frequency;50.08 Hz;50.08;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:55:00;Fusión solar;NE=33781459;a_i;Inversor;Phase A current of grid (IA);0.263 A;0.263;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:55:00;Fusión solar;NE=33781459;ab_u;Inversor;A-B line voltage of grid;221.3 V;221.3;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:55:00;Fusión solar;NE=33781459;pv2_i;Inversor;PV2 input current;0.0 A;0.0;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:55:00;Fusión solar;NE=33781459;pv1_i;Inversor;PV1 input current;0.0 A;0.0;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:55:00;Fusión solar;NE=33781459;pv2_u;Inversor;PV2 input voltage;0.0 V;0.0;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:55:00;Fusión solar;NE=33781459;pv1_u;Inversor;PV1 input voltage;0.0 V;0.0;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 04:55:00;Fusión solar;NE=33781459;ch_discharge_power;Battery-1;Charge/Discharge power;0.0 W;0.0;Casa Melipilla;2024-07-29 04:45:00
2024-07-29 05:00:00;Fusión solar;NE=33781459;battery_soc;Battery-1;Battery SOC;28.0 %;28.0;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:00:00;Fusión solar;NE=33781459;elec_freq;Inversor;Grid frequency;50.09 Hz;50.09;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:00:00;Fusión solar;NE=33781459;a_i;Inversor;Phase A current of grid (IA);0.261 A;0.261;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:00:00;Fusión solar;NE=33781459;ch_discharge_power;Battery-1;Charge/Discharge power;0.0 W;0.0;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:00:00;Fusión solar;NE=33781459;meter_i;Meter-1;Phase A current of grid (IA);-2.7199999999999998 A;-2.7199999999999998;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:00:00;Fusión solar;NE=33781459;pv1_u;Inversor;PV1 input voltage;0.0 V;0.0;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:00:00;Fusión solar;NE=33781459;pv2_u;Inversor;PV2 input voltage;0.0 V;0.0;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:00:00;Fusión solar;NE=33781459;meter_u;Meter-1;Phase A voltage (AC output);221.3 V;221.3;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:00:00;Fusión solar;NE=33781459;pv1_i;Inversor;PV1 input current;0.0 A;0.0;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:00:00;Fusión solar;NE=33781459;ab_u;Inversor;A-B line voltage of grid;221.8 V;221.8;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:00:00;Fusión solar;NE=33781459;pv2_i;Inversor;PV2 input current;0.0 A;0.0;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:00:00;Fusión solar;NE=33781459;grid_frequency;Meter-1;Grid frequency;50.09 Hz;50.09;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:05:00;Fusión solar;NE=33781459;meter_u;Meter-1;Phase A voltage (AC output);221.3 V;221.3;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:05:00;Fusión solar;NE=33781459;battery_soc;Battery-1;Battery SOC;28.0 %;28.0;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:05:00;Fusión solar;NE=33781459;ch_discharge_power;Battery-1;Charge/Discharge power;0.0 W;0.0;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:05:00;Fusión solar;NE=33781459;a_i;Inversor;Phase A current of grid (IA);0.261 A;0.261;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:05:00;Fusión solar;NE=33781459;ab_u;Inversor;A-B line voltage of grid;221.8 V;221.8;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:05:00;Fusión solar;NE=33781459;elec_freq;Inversor;Grid frequency;50.04 Hz;50.04;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:05:00;Fusión solar;NE=33781459;pv1_i;Inversor;PV1 input current;0.0 A;0.0;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:05:00;Fusión solar;NE=33781459;pv2_u;Inversor;PV2 input voltage;0.0 V;0.0;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:05:00;Fusión solar;NE=33781459;meter_i;Meter-1;Phase A current of grid (IA);-2.57 A;-2.57;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:05:00;Fusión solar;NE=33781459;grid_frequency;Meter-1;Grid frequency;50.04 Hz;50.04;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:05:00;Fusión solar;NE=33781459;pv1_u;Inversor;PV1 input voltage;0.0 V;0.0;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:05:00;Fusión solar;NE=33781459;pv2_i;Inversor;PV2 input current;0.0 A;0.0;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:10:00;Fusión solar;NE=33781459;ab_u;Inversor;A-B line voltage of grid;221.3 V;221.3;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:10:00;Fusión solar;NE=33781459;meter_i;Meter-1;Phase A current of grid (IA);-2.5 A;-2.5;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:10:00;Fusión solar;NE=33781459;grid_frequency;Meter-1;Grid frequency;50.06 Hz;50.06;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:10:00;Fusión solar;NE=33781459;battery_soc;Battery-1;Battery SOC;28.0 %;28.0;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:10:00;Fusión solar;NE=33781459;a_i;Inversor;Phase A current of grid (IA);0.262 A;0.262;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:10:00;Fusión solar;NE=33781459;pv2_i;Inversor;PV2 input current;0.0 A;0.0;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:10:00;Fusión solar;NE=33781459;pv1_i;Inversor;PV1 input current;0.0 A;0.0;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:10:00;Fusión solar;NE=33781459;pv2_u;Inversor;PV2 input voltage;0.0 V;0.0;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:10:00;Fusión solar;NE=33781459;pv1_u;Inversor;PV1 input voltage;0.0 V;0.0;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:10:00;Fusión solar;NE=33781459;ch_discharge_power;Battery-1;Charge/Discharge power;0.0 W;0.0;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:10:00;Fusión solar;NE=33781459;meter_u;Meter-1;Phase A voltage (AC output);220.8 V;220.8;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:10:00;Fusión solar;NE=33781459;elec_freq;Inversor;Grid frequency;50.08 Hz;50.08;Casa Melipilla;2024-07-29 05:00:00
2024-07-29 05:15:00;Fusión solar;NE=33781459;pv1_u;Inversor;PV1 input voltage;0.0 V;0.0;Casa Melipilla;2024-07-29 05:15:00
2024-07-29 05:15:00;Fusión solar;NE=33781459;pv2_u;Inversor;PV2 input voltage;0.0 V;0.0;Casa Melipilla;2024-07-29 05:15:00
2024-07-29 05:15:00;Fusión solar;NE=33781459;pv1_i;Inversor;PV1 input current;0.0 A;0.0;Casa Melipilla;2024-07-29 05:15:00
2024-07-29 05:15:00;Fusión solar;NE=33781459;pv2_i;Inversor;PV2 input current;0.0 A;0.0;Casa Melipilla;2024-07-29 05:15:00
